event_id,timestamp,user_id,user_name,role,department,source_ip,city,country,device_type,login_method,action,service,status,session_duration_min,bytes_transferred,is_anomaly,anomaly_type,risk_score,incident_id,attack_stage,benign_edge_case
3d79f9a6-ce77-4ba7-a66a-42aef72b7710,2026-07-28 04:12:27.037381,u0034,Vickie Jackson,Data Analyst,Engineering,107.176.90.168,Toronto,Canada,Laptop-Windows,sso,cloudwatch_view,CloudWatch,success,7.4,2574608,1,off_hours_access,84.3,,none,none
71da62f9-9ef3-46cd-be8b-84a9f57b7541,2026-07-28 04:18:27.037381,u0029,Marissa Howard,Contractor,Data,152.104.139.157,Toronto,Canada,Laptop-Mac,sso,s3_list,S3,success,7.3,4503281,1,off_hours_access,61.2,,none,none
1f24828c-ad3b-4b77-9199-cd34b96df700,2026-07-28 04:22:27.037381,u0036,Ashley Park,DevOps Engineer,Engineering,134.202.82.200,Singapore,Singapore,Mobile-iOS,password,login,AuthService,success,8.0,3632874,1,impossible_travel,90.3,,none,none
ce8c2aa5-c06f-46e1-b39e-1d9a11d6f289,2026-07-28 07:16:34.037381,u0001,Andrew Howell,Data Analyst,HR,66.127.174.231,Tokyo,Japan,Laptop-Windows,sso,s3_read,S3,success,32.9,2614522,0,none,11.2,,none,none
1cfe38ff-c95a-4604-bef5-632dc7cb4fea,2026-07-28 07:19:31.037381,u0001,Andrew Howell,Data Analyst,HR,66.127.174.231,Tokyo,Japan,Laptop-Windows,password,s3_read,S3,success,14.3,2804140,0,none,8.1,,none,none
5fa6dc2f-e4c0-4c1a-8677-ea1fc478b1c7,2026-07-28 07:20:44.037381,u0016,Brian Brown,Data Analyst,Data,156.243.71.204,London,UK,Mobile-Android,mfa,s3_read,S3,success,5.7,4204087,0,none,13.5,,none,none
cb006637-426e-4f85-a1c0-c7e4f5829c19,2026-07-28 07:26:39.037381,u0022,Megan Daniels,Data Analyst,IT,171.237.162.70,Sydney,Australia,Laptop-Mac,mfa,login,AuthService,success,6.4,5688308,0,none,6.0,,none,none
12e317ab-4d2f-4857-8ca8-251c2dba3f45,2026-07-28 07:35:57.037381,u0033,Alejandro Ayala,IT Admin,IT,5.147.183.18,Sao Paulo,Brazil,Laptop-Mac,sso,s3_list,S3,success,8.2,4486466,0,none,8.6,,none,none
740e658b-5373-43fb-9cdb-23c5bc9ecbc8,2026-07-28 07:37:23.037381,u0001,Andrew Howell,Data Analyst,HR,66.127.174.231,Tokyo,Japan,Laptop-Windows,password,s3_list,S3,success,10.3,2765988,0,none,4.9,,none,none
60ad0078-34c0-4370-8356-4e2dc03bb53a,2026-07-28 07:45:44.037381,u0004,Todd Price,HR Specialist,Data,126.58.34.53,New York,USA,Mobile-iOS,mfa,cloudwatch_view,CloudWatch,success,24.4,3413841,0,none,8.4,,none,none
