user_id,user_name,role,department,home_city,home_country,home_lat,home_lon,home_ip,usual_device,usual_start_hour,usual_end_hour,is_privileged,avg_daily_bytes
u0000,Aaron Castillo,Data Analyst,Engineering,Sydney,Australia,-33.87,151.21,69.116.38.120,Laptop-Mac,8,18,False,11878334
u0001,Andrew Howell,Data Analyst,HR,Tokyo,Japan,35.68,139.69,66.127.174.231,Laptop-Windows,7,17,False,19672546
u0002,Jeremy Robinson,Sales Rep,HR,Lagos,Nigeria,6.52,3.38,153.99.205.140,Laptop-Windows,8,20,False,19793519
u0003,Emily Schmidt,Contractor,HR,Sydney,Australia,-33.87,151.21,161.239.216.54,Laptop-Windows,8,20,False,27833825
u0004,Todd Price,HR Specialist,Data,New York,USA,40.71,-74.01,126.58.34.53,Mobile-iOS,7,17,False,30496489
u0005,Julie Moore,Data Analyst,IT,Frankfurt,Germany,50.11,8.68,133.255.187.114,Linux-Workstation,9,17,False,35831481
u0006,Daniel Smith,Data Analyst,Sales,Mumbai,India,19.08,72.88,52.8.218.0,Linux-Workstation,9,19,False,43745446
u0007,Cynthia Smith,Sales Rep,Finance,Mumbai,India,19.08,72.88,216.118.24.252,Laptop-Windows,8,19,False,10354748
u0008,Crystal Torres,Sales Rep,Operations,Mumbai,India,19.08,72.88,121.95.68.69,Mobile-Android,9,20,False,47660060
u0009,Morgan Carlson PhD,Finance Analyst,Data,Frankfurt,Germany,50.11,8.68,171.237.159.223,Mobile-iOS,8,19,False,48488918
u0010,Cassandra Anderson,Data Analyst,HR,London,UK,51.51,-0.13,192.74.24.243,Linux-Workstation,8,18,False,36021757
u0011,Angela Hodges,DevOps Engineer,IT,Toronto,Canada,43.65,-79.38,29.14.24.6,Laptop-Mac,9,17,True,20371155
u0012,Brittany Fritz,Software Engineer,Operations,Frankfurt,Germany,50.11,8.68,223.119.225.191,Mobile-Android,9,17,False,19158818
u0013,Joe Horn,Finance Analyst,Data,Sao Paulo,Brazil,-23.55,-46.63,176.179.217.232,Mobile-Android,10,18,False,22775807
u0014,Crystal Dunn,IT Admin,Data,Toronto,Canada,43.65,-79.38,59.130.174.65,Linux-Workstation,9,20,True,44160231
u0015,Scott Martin,DevOps Engineer,IT,New York,USA,40.71,-74.01,221.82.129.191,Laptop-Mac,10,17,True,8161926
u0016,Brian Brown,Data Analyst,Data,London,UK,51.51,-0.13,156.243.71.204,Mobile-Android,7,20,False,30610036
u0017,Rebecca Williams,Contractor,HR,Sydney,Australia,-33.87,151.21,203.167.187.154,Linux-Workstation,7,17,False,41035468
u0018,George Vazquez,HR Specialist,Operations,Frankfurt,Germany,50.11,8.68,183.246.57.251,Laptop-Windows,9,20,False,15613787
u0019,Jessica Kelly,Contractor,Engineering,Sydney,Australia,-33.87,151.21,169.243.174.38,Linux-Workstation,8,17,False,46963185
u0020,Jacob Davidson MD,HR Specialist,Operations,Toronto,Canada,43.65,-79.38,212.5.113.118,Linux-Workstation,8,18,False,30092933
u0021,Ernest Foster,IT Admin,HR,Toronto,Canada,43.65,-79.38,159.108.92.74,Laptop-Windows,9,20,True,6307062
u0022,Megan Daniels,Data Analyst,IT,Sydney,Australia,-33.87,151.21,171.237.162.70,Laptop-Mac,7,18,False,43074679
u0023,Amy Navarro,Data Analyst,Engineering,Sao Paulo,Brazil,-23.55,-46.63,179.221.151.90,Laptop-Windows,8,18,False,49275128
u0024,Steven Perez,Contractor,HR,London,UK,51.51,-0.13,222.131.179.36,Mobile-iOS,10,18,False,41191547
u0025,Ralph Nichols,Sales Rep,Finance,Sydney,Australia,-33.87,151.21,48.85.132.183,Mobile-Android,9,20,False,39733926
u0026,Nathan Marshall,Contractor,Engineering,New York,USA,40.71,-74.01,76.158.110.181,Laptop-Mac,7,19,False,6411585
u0027,Robert Strickland,Sales Rep,HR,New York,USA,40.71,-74.01,212.233.122.87,Laptop-Windows,7,17,False,20364023
u0028,Natalie Davis,Data Analyst,Engineering,Frankfurt,Germany,50.11,8.68,199.85.169.189,Laptop-Windows,8,19,False,49894338
u0029,Marissa Howard,Contractor,Data,Toronto,Canada,43.65,-79.38,152.104.139.157,Laptop-Mac,10,18,False,36740676
u0030,Olivia Pacheco,DevOps Engineer,Data,Mumbai,India,19.08,72.88,199.160.175.85,Laptop-Windows,10,19,True,33425880
u0031,Holly Callahan,DevOps Engineer,Sales,Singapore,Singapore,1.35,103.82,44.54.83.21,Laptop-Windows,7,20,True,27770212
u0032,David Perez,Data Analyst,Data,New York,USA,40.71,-74.01,171.151.166.13,Laptop-Mac,10,18,False,33311997
u0033,Alejandro Ayala,IT Admin,IT,Sao Paulo,Brazil,-23.55,-46.63,5.147.183.18,Laptop-Mac,7,20,True,41931706
u0034,Vickie Jackson,Data Analyst,Engineering,Toronto,Canada,43.65,-79.38,107.176.90.168,Laptop-Windows,7,18,False,16160949
u0035,Oscar Bailey,DevOps Engineer,Sales,Sao Paulo,Brazil,-23.55,-46.63,157.167.69.162,Laptop-Mac,10,17,True,16048610
u0036,Ashley Park,DevOps Engineer,Engineering,Tokyo,Japan,35.68,139.69,149.116.108.127,Mobile-iOS,10,19,True,33387551
u0037,Cynthia Lozano,Contractor,Data,New York,USA,40.71,-74.01,151.156.82.71,Mobile-iOS,8,17,False,43868131
u0038,Dr. Jeanette Spence,Software Engineer,Finance,Frankfurt,Germany,50.11,8.68,57.189.14.231,Laptop-Windows,7,20,False,38745717
u0039,Brett Shah,IT Admin,Engineering,Toronto,Canada,43.65,-79.38,151.118.71.251,Laptop-Windows,8,17,True,44932130
